gender,age_group,user_view,user_add,user_purchase,cr_view_add,cr_add_purchase,cr_view_purchase,dropoff_view_add,dropoff_add_purchase
unknown,18_30,53,48,21,90.57,43.75,39.62,9.43,56.25
unknown,46_plus,141,129,56,91.49,43.41,39.72,8.51,56.59
Женский,30_45,815,759,332,93.13,43.74,40.74,6.87,56.26
Мужской,46_plus,2050,1942,880,94.73,45.31,42.93,5.27,54.69
Мужской,18_30,662,626,285,94.56,45.53,43.05,5.44,54.47
Мужской,30_45,846,803,366,94.92,45.58,43.26,5.08,54.42
Женский,18_30,735,681,319,92.65,46.84,43.4,7.35,53.16
Женский,46_plus,1954,1846,866,94.47,46.91,44.32,5.53,53.09
unknown,30_45,67,64,33,95.52,51.56,49.25,4.48,48.44
